Periode;Jumlah Tanam;Siap Dipanen;Gagal Panen;Data Stok;Sudah Packing;Stok Belum Panen;Rumah Sendiri;Rt 1;Rt 2;Rt 3;Rt 4;Rt 5;Rt 6;Rt 7;Pasar;Data Transaksi;Sisa Stok Transaksi Sudah Packing
1;600;590;10;540;50;490;0;5;5;7;3;4;3;3;20;50;0
2;0;0;0;500;50;450;0;4;3;5;2;2;2;2;20;40;10
3;0;0;0;445;65;380;0;5;7;5;4;3;3;3;25;55;10
4;0;0;0;395;60;335;5;7;5;4;2;3;2;2;20;50;10
5;0;0;0;355;40;315;0;7;8;8;4;4;4;5;0;40;0
6;0;0;0;300;60;240;0;6;6;6;4;5;4;4;20;55;5
7;0;0;0;228;73;155;19;10;9;10;6;7;6;5;0;72;1
8;0;0;0;158;73;85;10;8;8;7;5;4;4;4;20;70;3
9;800;800;0;724;79;645;29;8;10;10;7;5;5;5;0;79;0
10;0;0;0;645;79;566;9;7;6;7;5;5;5;5;30;79;0
11;0;0;0;566;79;487;9;7;6;7;5;5;5;5;30;79;0
12;0;0;0;476;90;386;35;10;10;12;7;6;5;5;0;42;0
13;0;0;0;396;90;306;20;5;5;5;5;4;3;3;30;80;10
14;0;0;0;301;110;191;30;11;14;12;7;8;6;7;0;95;15
15;0;0;0;181;120;61;0;7;7;8;7;7;7;7;70;120;0
16;0;0;0;123;58;65;0;11;9;9;7;8;7;7;0;58;0
17;1000;998;2;903;101;802;0;13;10;12;8;9;6;7;30;43;6
18;95;0;0;808;100;708;30;10;12;12;10;9;6;6;0;95;5
19;95;0;0;706;102;604;15;10;10;9;7;7;7;5;32;102;0
20;102;0;0;611;97;514;30;10;13;13;7;8;7;7;0;95;2
21;95;0;0;514;97;417;5;10;8;8;7;9;7;6;37;97;0
22;97;0;0;419;97;322;0;8;14;9;6;6;7;5;40;44;2
23;95;0;0;320;99;221;30;15;9;7;11;9;9;9;0;99;0
24;99;95;0;95;95;0;10;9;8;8;6;7;6;6;30;90;5
25;90;95;0;100;100;0;25;13;13;13;7;8;9;7;0;95;5
26;95;102;0;107;107;0;10;9;13;8;7;7;9;7;30;100;7
27;100;95;0;102;102;0;25;15;11;12;6;10;9;7;nan;45;7
28;95;97;0;104;104;0;0;9;9;10;9;6;6;6;40;95;9
29;95;95;0;104;104;0;5;12;9;12;7;7;7;6;30;95;9
30;95;99;0;108;108;0;25;13;12;11;9;9;9;7;0;95;13
31;95;90;0;103;103;0;20;8;8;8;7;7;7;5;30;100;3
32;100;95;0;98;98;0;25;15;16;10;7;8;9;5;0;46;3
33;95;100;0;103;103;0;15;9;8;7;6;6;8;6;30;95;8
34;95;95;0;103;103;0;25;12;9;13;9;9;9;9;0;95;8
35;95;95;0;103;103;0;20;9;9;7;7;5;4;4;35;100;3
36;100;95;0;98;98;0;20;8;7;6;7;4;5;3;33;93;5
37;93;95;0;100;100;0;30;14;11;9;7;9;9;6;0;47;5
38;95;100;0;105;105;0;20;11;9;7;6;5;7;5;30;100;5
39;100;95;0;100;100;0;30;14;12;13;9;6;5;6;0;95;5
40;95;95;0;100;100;0;20;10;9;9;8;4;6;4;30;100;0
41;100;95;0;95;95;0;30;14;9;13;6;6;6;6;0;90;5
42;90;100;0;105;105;0;20;8;9;8;8;5;4;8;30;48;5
43;100;93;0;98;98;0;20;9;6;7;6;5;4;3;30;90;8
44;90;95;0;103;103;0;30;15;13;15;6;8;7;6;0;100;3
45;100;100;0;103;103;0;25;8;7;6;6;6;6;6;30;100;3
46;100;95;0;98;98;0;30;10;11;9;9;6;8;7;0;90;8
47;0;100;0;108;108;0;20;10;10;7;5;5;6;4;35;49;6
48;0;90;0;96;96;0;30;11;12;9;6;9;5;8;0;90;6
49;0;100;0;106;106;0;20;13;9;8;5;5;5;5;30;100;6
50;0;90;0;96;96;0;20;9;6;7;5;5;5;5;30;92;4
51;0;100;0;104;104;0;30;17;14;9;9;6;7;8;0;100;4
52;0;100;0;104;104;0;20;9;9;9;6;4;6;9;30;102;2
